,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,0,partie,part
1,1,1,1,histoire,history
2,2,2,2,chercher,search
3,3,3,3,seulement,only
4,4,4,4,police,police
5,5,5,5,pensais,thought
6,6,6,6,aide,help
7,7,7,7,demande,request
8,8,8,8,genre,kind
9,9,9,9,mois,month
10,10,10,10,frère,brother
11,11,11,11,laisser,let
12,12,12,12,car,because
13,13,13,13,mettre,to put
14,14,14,14,aucun,no
15,15,15,15,laisse,leash
16,16,16,16,eux,them
17,17,17,17,ville,city
18,18,18,18,chaque,each
19,19,19,19,arrivé,come
20,20,20,20,devrait,should
21,21,21,21,bébé,baby
22,22,22,22,longtemps,long time
23,23,23,23,heures,hours
24,24,24,24,vont,will
25,25,25,25,pendant,while
26,26,26,26,revoir,meet again
27,27,27,27,aucune,any
28,28,28,28,place,square
29,29,29,29,parle,speak
30,30,30,30,compris,understood
31,31,31,31,savais,knew
32,32,32,32,étaient,were
33,33,33,33,attention,Warning
34,34,34,34,voici,here is
35,35,35,35,pourrais,could
36,36,36,36,affaire,case
37,37,37,37,donner,give
38,38,38,38,type,type
39,39,39,39,leurs,their
40,40,40,40,donné,given
41,41,41,41,train,train
42,42,42,42,corps,body
43,43,43,43,endroit,place
44,44,44,44,yeux,eyes
45,45,45,45,façon,way
46,46,46,46,écoute,listen
47,48,48,48,trouve,find
48,49,49,50,perdu,lost
49,50,50,51,main,hand
50,51,51,52,première,first
51,52,52,53,côté,side
52,53,53,54,pouvoir,power
53,54,54,55,vieux,old
54,55,55,56,sois,be
55,56,56,57,tiens,here
56,57,57,58,matin,morning
57,58,58,59,tellement,so much
58,59,59,60,enfant,child
59,60,60,61,point,point
60,61,61,62,venu,came
61,62,62,64,pardon,sorry
62,63,63,65,venez,come
63,64,64,66,devant,in front of
64,66,66,68,minutes,minutes
65,67,67,69,demandé,request
66,68,68,70,chambre,bedroom
67,69,69,71,mis,placed
68,70,70,72,belle,beautiful
69,71,71,73,droit,law
70,72,72,74,aimerais,would like to
71,73,73,75,aujourd'hui,today
72,74,74,76,mari,husband
73,75,75,77,cause,cause
74,76,76,78,enfin,finally
75,77,77,79,espère,hope
76,78,78,80,eau,water
77,79,79,81,attendez,Wait
78,80,80,82,parti,left
79,81,81,83,nouvelle,new
80,82,82,84,boulot,job
81,83,83,85,arrêter,Stop
82,84,84,86,dirait,would say
83,85,85,87,terre,Earth
84,86,86,88,compte,account
85,87,87,89,donne,given
86,88,88,90,loin,far
87,89,89,91,fin,end
88,90,90,92,croire,believe
89,91,91,93,chérie,sweetheart
90,92,92,94,gros,large
91,93,94,96,aura,will have
92,94,95,97,filles,girls
93,95,96,98,jouer,to play
94,96,97,99,bureau,office
